nmot_w,mshfm_w,rl_w,rlsol_w,pvdkds_w,plsol_w,lamsoni_w,lamsbg_w,tikatm_w
5374.25,152.889,149.039,183.094,2027.62,2287.03,0.80298,0.796876,752.85
5378.75,152.167,149.086,182.93,2021.52,2286.48,0.794923,0.796876,755.682
5377.5,151.917,150.609,182.789,2000.27,2283.67,0.777345,0.796876,755.682
5415.75,153.167,149.156,182.578,2018.48,2281.29,0.783448,0.796876,755.682
5408.5,152.972,147.844,182.367,2018.52,2280.2,0.787843,0.796876,755.682
5426.75,152.389,148.336,182.438,2003.32,2284.77,0.789552,0.796876,758.631
5442.0,152.167,147.539,182.414,2018.48,2286.25,0.809083,0.796876,758.631
5439.25,151.667,147.844,182.461,2012.38,2286.02,0.809083,0.796876,758.631
5471.75,152.361,147.516,182.391,2003.32,2284.77,0.777345,0.796876,758.631
5462.25,154.028,146.953,182.109,2018.48,2282.03,0.767579,0.796876,761.678
5494.5,152.778,146.906,182.156,2000.23,2288.75,0.766603,0.796876,761.678
5487.75,155.056,147.492,181.992,1978.98,2285.78,0.785157,0.796876,761.678
5510.5,152.639,146.93,181.875,1969.88,2285.74,0.806398,0.796876,761.678
5516.0,155.889,145.852,182.086,1997.19,2287.58,0.805421,0.796876,764.842
5532.25,153.167,146.883,182.086,1982.03,2286.56,0.791505,0.796876,764.842
5541.75,153.389,145.711,181.805,2003.28,2286.68,0.790529,0.796876,764.842
5554.75,153.889,145.57,181.805,1969.88,2289.45,0.782472,0.796876,764.842
5564.25,152.778,145.594,181.477,1969.84,2286.17,0.794923,0.796876,768.084
5569.75,154.389,145.313,181.5,1975.94,2287.58,0.794923,0.804689,768.084
5574.75,155.139,143.906,181.453,1975.98,2285.63,0.802003,0.804689,768.084
5603.75,154.028,144.938,181.102,1966.84,2283.59,0.808107,0.804689,768.084
5599.0,155.278,145.805,181.078,1972.89,2281.88,0.800294,0.804689,771.404
5633.25,154.222,144.867,181.008,1954.69,2287.07,0.787843,0.796876,771.404
5623.5,154.028,146.484,180.844,1936.48,2285.82,0.804689,0.796876,771.404
5633.25,155.417,144.07,180.867,1945.59,2284.06,0.785157,0.796876,774.783
5661.75,154.889,142.359,180.469,1978.95,2280.78,0.783448,0.796876,774.783
